公司名称,合同名称,JDY销售额-D_万,签单日期_str,JDY客户分类,三级分类
茂名重力石化装备股份公司,升级企业版需求,49.95,2026-02-28,JDY老客,新购
广西中烟工业有限责任公司,BI+简道云机会,42.0,2026-04-30,JDY新客,新购
深圳市水务（集团）有限公司,深圳市水务集团的简道云独享版增购,32.3,2026-03-30,JDY老客,升级
广东爱码科技股份有限公司,工程管理系统需求,25.2,2026-04-29,JDY新客,新购
广州樊文花化妆品有限公司,【自动创建】广州樊文花化妆品有限公司的简道云公有云续费商机2026,22.85,2026-03-13,JDY老客,升级
国家管网集团北海液化天然气有限责任公司,国家管网集团北海液化天然气有限责任公司简道云国产化,22.6,2026-03-12,JDY老客,新购
