公司名称,合同名称,JDY销售额-D_万,签单日期_str,JDY客户分类,三级分类
仁宝电脑工业（中国）有限公司,仁宝JDY,78.0,2025-03-27,Fine+老客推新,新购
中国邮政航空有限责任公司南京分公司,【中国邮政航空】简道云产品采购,68.94,2025-04-17,JDY老客,新购
苏州市艾西依钣金制造有限公司,艾西依简道云机会,32.0,2025-03-24,Fine+老客推新,新购
江苏兴力工程管理有限公司,订单号:QT-20250325-2838流水号:SO#20250325-2838,30.0,2025-03-25,JDY老客,新购
