公司名称,合同名称,JDY销售额-D_万,签单日期_str,JDY客户分类,三级分类
重庆长安汽车股份有限公司,长安国产本地化买断JDY_DZZ,171.0,2025-03-25,JDY老客,新购
泸州老窖特曲酒类销售股份有限公司,简道云本地化账号—300人增购,22.5,2025-04-24,JDY老客,升级
