业绩归属战区,JDY销售额-D,平均合同额_万
上海大区,40164.56166666667,4.02
东北大区,40762.768,4.08
北京大区,33435.06773333334,3.34
华中大区,16715.420648648647,1.67
华北大区,18569.924320987655,1.86
华南大区,34782.3016,3.48
浙闽大区,31099.65308411215,3.11
苏皖大区,67884.70370370371,6.79
西北大区,86159.70212765958,8.62
西南大区,40823.838983050846,4.08
