公司名称,合同名称,JDY销售额-D_万,签单日期_str,JDY客户分类,三级分类
四川壤塘华电清能电力开发有限公司,理县星河电力有限责任公司简道云本地化,55.5,2026-04-13,JDY老客,新购
深蓝汽车科技有限公司,26-27深蓝汽车简道云机会,39.4,2026-01-28,JDY老客,新购
长安福特汽车有限公司,【自动创建】【国资企业】长安福特汽车有限公司的简道云公有云续费商机,23.05,2026-01-19,JDY老客,续费
四川郎酒集团有限责任公司,郎酒简道云 26年续费,20.0,2026-02-27,JDY老客,新购
