公司名称,合同名称,JDY销售额-D_万,签单日期_str,JDY客户分类,三级分类
中国邮政航空有限责任公司南京分公司,【中国邮政航空】简道云产品采购,68.94,2025-04-17,JDY老客,新购
蒙牛乳业（北京）有限责任公司,蒙牛本地化机会,60.0,2025-03-31,JDY老客,新购
中国电建市政建设集团有限公司,PMS系统信创替代,44.75,2025-03-19,Fine+老客推新,新购
中国石化销售股份有限公司华北分公司,中石化销售华北简道云机会,32.0,2025-04-27,JDY老客,新购
