公司名称,合同名称,JDY销售额-D_万,签单日期_str,JDY客户分类,三级分类
陕西煤业股份有限公司,陕煤股份绩效平台买断,29.6,2025-03-28,JDY老客,续费
西安跨时代信息科技有限公司,义乌市金鑫实业有限公司购买,21.0,2025-03-28,JDY老客,新购
