公司名称,合同名称,JDY销售额-D_万,签单日期_str,JDY客户分类,三级分类
陕西中烟工业有限责任公司延安卷烟厂,延安卷烟厂简道云本地化,150.5,2026-02-24,JDY老客,新购
中车兰州机车有限公司,中车兰州机车简道云独享版采购,39.0,2026-04-10,JDY新客,新购
神华新街能源有限责任公司,简道云正版软件采购,33.0,2026-01-20,JDY老客,续费
中交西安筑路机械有限公司,西筑简道云saas版,32.94,2026-04-22,JDY新客,新购
中交第二公路工程局有限公司,【自动创建】中交第二公路工程局有限公司的简道云公有云续费商机2026,28.6,2026-03-30,JDY老客,续费
