业绩归属战区,JDY销售额-D,合同名称,销售额_万
上海大区,3373823.18,84,337.38
东北大区,815255.36,20,81.53
北京大区,2507630.08,75,250.76
华中大区,618470.564,37,61.85
华北大区,1504163.87,80,150.42
华南大区,3478230.16,100,347.82
浙闽大区,3327662.88,107,332.77
苏皖大区,5498661.0,81,549.87
西北大区,4049506.0,47,404.95
西南大区,2408606.5,59,240.86
