战区,缺口_万,平均合同额_万,转化率,需新签合同数,需创建机会数
华南大区,994.5,3.48,35.6%,286.0,803.0
北京大区,829.2,3.34,45.3%,248.0,548.0
上海大区,586.7,4.02,46.5%,146.0,314.0
苏皖大区,593.0,6.79,36.8%,87.0,237.0
浙闽大区,938.3,3.11,47.8%,302.0,631.0
华中大区,-135.7,1.67,41.9%,0.0,0.0
华北大区,828.5,1.86,33.4%,445.0,1334.0
西南大区,740.4,4.08,47.9%,181.0,379.0
西北大区,-252.6,8.62,53.0%,0.0,0.0
东北大区,32.4,4.08,43.9%,8.0,18.0
