公司名称,合同名称,JDY销售额-D_万,签单日期_str,JDY客户分类,三级分类
扬州中远海运重工有限公司,扬州中远信创产品采购,110.0,2026-01-15,Fine+老客推新,新购
东华汽车实业有限公司,【简道云】东华智能转向本地化,60.0,2026-04-20,Fine+老客推新,新购
南通烟滤嘴有限责任公司,南通烟滤嘴简道云本地化,42.0,2026-04-08,Fine+老客推新,新购
罗氏诊断产品（苏州）有限公司,罗氏张江工厂jdy——rodney+anson,39.55,2026-01-09,JDY新客,新购
江苏国信协联能源有限公司,国信协联BI+简道云机会,27.2,2026-04-24,JDY新客,新购
北汽蓝谷麦格纳汽车有限公司,北汽蓝谷麦格纳汽车2026-2028简道云续费,26.11,2026-02-27,JDY老客,续费
苏州新建元数字科技有限公司,数科2025年JDY续费,23.46,2026-03-03,JDY老客,续费
无锡市同步电子科技股份有限公司,JDY商务管理系统,20.79,2026-04-22,JDY老客,新购
